Date,Description,Amount
01/10/2026,Weekly Rent Payment (Direct Debit),-450.00
01/10/2026,Monthly Electricity Bill (BPAY),-85.20
02/10/2026,Lunch - Local Cafe (Debit Card),-18.50
02/10/2026,Train Fare (Myki/Opal) (Tap & Go),-4.60
03/10/2026,Weekly Grocery Run (Woolworths) (Debit Card),-112.40
03/10/2026,Netflix Subscription (Credit Card),-18.99
04/10/2026,Startup Project Hoodie (Blind Box) (PayPal),-70.00
05/10/2026,Fuel - Caltex (Debit Card),-65.00
06/10/2026,Morning Coffee & Pastry (Debit Card),-12.50
07/10/2026,Weekly Gym Membership (Direct Debit),-15.00
08/10/2026,Weekly Rent Payment (Direct Debit),-450.00
09/10/2026,Dinner with Friends (Credit Card),-55.00
10/10/2026,Weekend Groceries (Debit Card),-98.15
11/10/2026,Cinema Tickets & Popcorn (Debit Card),-45.00
12/10/2026,Daily Commute (Train/Bus) (Tap & Go),-9.20
13/10/2026,Running Shoes (Credit Card),-120.00
14/10/2026,Weekly Gym Membership (Direct Debit),-15.00
15/10/2026,Weekly Rent Payment (Direct Debit),-450.00
15/10/2026,Internet Service Provider (Credit Card),-60.00
16/10/2026,Friday Takeaway Pizza (Debit Card),-22.00
17/10/2026,Major Grocery Restock (Coles) (Debit Card),-134.60
18/10/2026,Spotify Premium (Credit Card),-11.99
19/10/2026,Train Fare (Tap & Go),-4.60
20/10/2026,Morning Coffee & Muffin (Debit Card),-8.50
21/10/2026,Weekly Gym Membership (Direct Debit),-15.00
22/10/2026,Weekly Rent Payment (Direct Debit),-450.00
23/10/2026,Bookstore Purchase (Debit Card),-35.00
24/10/2026,Top-up Groceries (Debit Card),-85.30
25/10/2026,Sunday Brunch (Debit Card),-42.00
26/10/2026,Fuel - Seven Eleven (Debit Card),-68.00
27/10/2026,Uber Ride home (Credit Card),-24.50
28/10/2026,Weekly Gym Membership (Direct Debit),-15.00
29/10/2026,Weekly Rent Payment (Direct Debit),-450.00
30/10/2026,Date Night Restaurant Dinner (Credit Card),-75.00
31/10/2026,Theme Park Halloween Ticket (Debit Card),-120.00
01/11/2026,Weekly Grocery Run (Coles) (Debit Card),-105.40
02/11/2026,Train Commute (Tap & Go),-4.60
03/11/2026,Lunch - Salad Bar (Debit Card),-14.20
04/11/2026,Weekly Gym Membership (Direct Debit),-15.00
04/11/2026,Monthly Electricity Bill (BPAY),-88.40
05/11/2026,Weekly Rent Payment (Direct Debit),-450.00
05/11/2026,Internet Broadband Bill (Credit Card),-60.00
06/11/2026,Friday Pizza Night (Debit Card),-24.50
07/11/2026,Art Book Store (Debit Card),-45.00
08/11/2026,Sunday Grocery Restock (Debit Card),-115.30
09/11/2026,Fuel - Caltex (Debit Card),-62.00
10/11/2026,Coffee & Pastry (Debit Card),-8.50
11/11/2026,Weekly Gym Membership (Direct Debit),-15.00
12/11/2026,Weekly Rent Payment (Direct Debit),-450.00
13/11/2026,Netflix Subscription (Credit Card),-18.99
14/11/2026,Collectible Blind Box Hoodie (PayPal),-70.00
15/11/2026,Weekly Grocery Run (Debit Card),-94.20
16/11/2026,Train Fare (Tap & Go),-4.60
17/11/2026,Weekday Dinner out (Credit Card),-32.00
18/11/2026,Weekly Gym Membership (Direct Debit),-15.00
18/11/2026,Spotify Premium (Credit Card),-11.99
19/11/2026,Weekly Rent Payment (Direct Debit),-450.00
20/11/2026,Lunch - Japanese Ramen (Debit Card),-18.50
21/11/2026,Weekend Groceries (Coles) (Debit Card),-128.90
22/11/2026,Live Music Bar Entry (Debit Card),-35.00
23/11/2026,Fuel - Shell (Debit Card),-65.00
24/11/2026,Afternoon Tea (Debit Card),-6.80
25/11/2026,Weekly Gym Membership (Direct Debit),-15.00
26/11/2026,Weekly Rent Payment (Direct Debit),-450.00
27/11/2026,Friday Dinner Celebration (Credit Card),-88.00
28/11/2026,Minor Grocery Top-up (Debit Card),-76.50
29/11/2026,Winter Jacket (Thrifted) (Debit Card),-110.00
30/11/2026,Daily Commute (Tap & Go),-9.20
